주차장관리번호,주차장명,경도,위도,주차장구분,주차장유형,주차장지번주소,주차장도로명주소,주차구획수
19477,연세세브란스빌딩뒤 공영주차장,126.974121,37.557527,공영,노상,서울특별시 중구 남대문로5가 217,서울특별시 중구 세종대로2길,17
19479,광화문빌딩,126.9736974,37.57138765,공영,노상,서울특별시 종로구 당주동 145,서울특별시 종로구 세종대로23길47,17
19483,남대문피혁상가남측 공영주차장,126.973435,37.559194,공영,노상,서울특별시 중구 봉래동1가 13-6,서울특별시 중구 세종대로5길,25
19567,교남공영,126.9639256,37.57275458,공영,노외,서울특별시 종로구 행촌동 1-53,서울특별시 종로구 행촌동 1-53,28
19573,행촌공영,126.9630776,37.57530593,공영,노외,서울특별시 종로구 행촌동 210-35,서울특별시 종로구 행촌동 210-35,12
19587,부암공영,126.9606366,37.59307633,공영,노외,서울특별시 종로구 부암동 369-15,서울특별시 종로구 부암동 369-15,9
19588,천연동 제1공영주차장,126.9605364,37.56848638,공영,노외,서울특별시 서대문구 천연동 98-13,"""서울특별시 서대문구 독립문로8길 19 (천연동, 서대문구 천연동 꿈꾸는 다락방)""",20
19589,행운동제1공영,126.960471,37.47975,공영,노외,서울특별시 관악구 봉천동 1677-10,서울특별시 관악구 행운4길 21,79
19592,낙성대제2공영,126.959844,37.474496,공영,노상,서울특별시 관악구 봉천동 220-2일대,서울특별시 관악구 낙성대로 3길 일대,26
19603,낙성대제1공영,126.95895,37.477589,공영,노상,서울특별시 관악구 봉천동 1627-12일대,서울특별시 관악구 봉천로 62길 일대,23
19604,대화,126.958749,37.59925649,민영,노외,서울특별시 종로구 팔판동 56,서울특별시 종로구 자하문로 309,16
19605,북아현동 제2공영주차장,126.9582953,37.56004868,공영,노외,서울특별시 서대문구 북아현동 121-1,서울특별시 서대문구 북아현로6길 60,50
19619,대륜(평면식),126.9571793,37.61149858,민영,노외,서울특별시 종로구 구기동 146-1,서울특별시 종로구 구기동 146-1,210
19624,충현동 제2공영주차장,126.9567861,37.56288087,공영,노외,서울특별시 서대문구 북아현로14길 24,서울특별시 서대문구 북아현로14길 24,38
19628,비봉주차장,126.9565401,37.61221553,공영,노외,서울특별시 종로구 구기동 139-9,서울특별시 종로구 구기동 139-9,37
19659,북성초등학교 공영주차장,126.9518353,37.55963176,공영,노외,서울특별시 서대문구 북아현동 215,서울특별시 서대문구 북아현로5나길 84,100
19670,홍제1동 제3공영주차장,126.9507945,37.57958298,공영,노외,서울특별시 서대문구 홍제1동 44-34,서울특별시 서대문구 홍제1동 44-34,19
19671,북아현가구단지 공영주차장,126.9504795,37.56282073,공영,노외,서울특별시 서대문구 북아현동 915,서울특별시 서대문구 북아현로11사길 13 (북아현동),15
19685,홍은1동 제3공영주차장,126.9498576,37.60579784,공영,노외,서울특별시 서대문구 홍은1동 8-1262,서울특별시 서대문구 홍은1동 8-1262,9
19687,홍은1동 제1공영주차장,126.9495408,37.59867988,공영,노외,서울특별시 서대문구 홍은1동 9-164,서울특별시 서대문구 포방터2길 10,72
19688,홍은1동 제4공영주차장,126.949181,37.60152686,공영,노외,서울특별시 서대문구 홍은1동 11-23,서울특별시 서대문구 홍은중앙로 125,105
19699,홍제3동 제1공영주차장,126.9481889,37.59507893,공영,노외,서울특별시 서대문구 홍제3동 278-41,서울특별시 서대문구 홍제3동 278-41,27
19702,홍제2동 제1공영주차장,126.9476637,37.58834649,공영,노외,서울특별시 서대문구 홍제2동 192-14,서울특별시 서대문구 홍제2동 192-14,17
19707,관악산노상공영,126.946243,37.46905,공영,노상,서울특별시 관악구 신림동 138-22 일대,서울특별시 관악구 신림로 24-40구간,186
19710,홍제3동 제2공영주차장,126.9447067,37.58781176,공영,노외,서울특별시 서대문구 홍제3동 8-173,서울특별시 서대문구 통일로37길 5 (홍제동),27
19719,유진상가 앞 공영주차장,126.942295,37.59089199,공영,노상,서울특별시 서대문구 홍제3동 294-4,서울특별시 서대문구 통일로 478 (홍제동),35
19720,인왕시장 앞 공영주차장,126.942295,37.59089199,공영,노상,서울특별시 서대문구 홍제3동 294-4,서울특별시 서대문구 통일로 478 (홍제동),29
